[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | INFO: Tag[ app_begin ] --START--
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000411s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000448s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.001357s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.001829s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '174' ) LIMIT 1   [ RunTime:0.001978s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001599s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '24' ) LIMIT 1   [ RunTime:0.001379s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.001391s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.001412s ]
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T13:07:27+08:00 ] /index.php/article/index/id/174 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.001376s ]
