[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Run ShowRuntime Behavior [ RunTime:0.000368s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001684s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Tag[ view_end ] --START--
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Run ShowPageTrace Behavior [ RunTime:0.000413s ]
[ 2017-10-02T13:05:20+08:00 ] /index.php/index/suibi | INFO: Tag[ view_end ] --END-- [ RunTime:0.000444s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Tag[ route_check ] --START--
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Run CheckRoute Behavior [ RunTime:0.000585s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Tag[ route_check ] --END-- [ RunTime:0.000692s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Tag[ app_begin ] --START--
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000429s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000466s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | SQL: SHOW COLUMNS FROM `think_words` [ RunTime:0.002335s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | SQL: SELECT * FROM `think_words` ORDER BY time desc  [ RunTime:0.001737s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001867s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | SQL: SELECT * FROM `think_article_type`  [ RunTime:0.001609s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Tag[ view_template ] --START--
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Run LocationTemplate Behavior [ RunTime:0.000412s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Tag[ view_template ] --END-- [ RunTime:0.000447s ]
[ 2017-10-02T13:05:21+08:00 ] /index.php/index/liuyan | INFO: Tag[ view_parse ] --START--
