[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10066' ) ORDER BY fsort  [ RunTime:0.040003s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10110' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10109' ) ORDER BY fsort  [ RunTime:0.431025s ]
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT COUNT(*) AS tp_count FROM `think_pms_functions` WHERE ( `fparentid` = '10001' ) ORDER BY fsort LIMIT 1   [ RunTime:0.039002s ]
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10001' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10134' ) ORDER BY fsort  [ RunTime:0.041002s ]
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10003' ) ORDER BY fsort  [ RunTime:0.040003s ]
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10004' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:01+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10144' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T11:40:17+08:00 ] /admin.php/frame | ERR: (ThinkException) php_network_getaddresses: getaddrinfo failed: ��֪�������������� 
[ 2017-09-22T11:40:36+08:00 ] /admin.php/frame | ERR: (ThinkException) php_network_getaddresses: getaddrinfo failed: ��֪�������������� 
[ 2017-09-22T11:40:38+08:00 ] /admin.php | ERR: (ThinkException) 无法加载模块Index
[ 2017-09-22T11:40:46+08:00 ] /admin.php | ERR: (ThinkException) 无法加载模块Index
[ 2017-09-22T11:40:49+08:00 ] /admin.php/account/login | INFO: Tag[ route_check ] --START--
[ 2017-09-22T11:40:49+08:00 ] /admin.php/account/login | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-09-22T11:40:49+08:00 ] /admin.php/account/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
